"sep=	"
Document type	Open Access	Number	Authors countries	Authors	Title	Journal title	Volume	Pages	Year	Beamline(s)	Facility used	Proposal number	DOI	DOI added	WoS Number
Journal article		ESRF91KR116		Krisch M., Freund A.K., Marot G., Zhang L.	Study of dynamically bent crystals for X-ray focusing optics	Nuclear Instruments and Methods in Physics Research A	308	378-381	1991		ESRF (Grenoble)		10.1016/0168-9002(91)90674-F		WOS:A1991GN15300100
Journal article		ESRF91KR119		Krisch M., Freund A.K., Marot G., Zhang L.	Study of dynamically bent crystals for X-ray focusing optics	Nuclear Instruments and Methods in Physics Research A	305	208-213	1991		ESRF (Grenoble)		10.1016/0168-9002(91)90536-Y		WOS:A1991FX22500026
Report		ESRF91KV142		Kvick Å.	Materials diffraction beamline.					ID11	ESRF (Grenoble)				
Journal article		ESRF91KV109		Kvick Å.	The European Synchrotron Radiation Facility - An overview of planned diffraction capability	Journal of Physics and Chemistry of Solids	52	1307-1312	1991		ESRF (Grenoble)		10.1016/0022-3697(91)90208-H		WOS:A1991GU76300016
Article from Conference in a Journal		ESRF91LE113		Lebech B., Wulff M., Lander G.H.	Spin and orbital moments in actinide compounds	Journal of Applied Physics	69	5891-5896	1991		ESRF (Grenoble)		10.1063/1.347864		WOS:A1991FL73500210
Article from Conference in a Book		ESRF04MA438	France (ESRF)	Mairs T., Biasci J.C.	The design of ESRF front ends	Conference Proceedings	236	266-277	1991						
Article from Conference in a Book		ESRF07MA149	France (ESRF)	Mairs T., Biasci J.C.	The design of ESRF Front Ends	AIP Conference Proceedings	236	266-277	1991		ESRF (Grenoble)				
Journal article		ESRF91MA120		Malgrange C., Carvalho C., Braicovich L., Goulon J.	Transfer of circular polarization in Bragg crystal x-ray monochromators	Nuclear Instruments and Methods in Physics Research A	308	390-396	1991		ESRF (Grenoble)		10.1016/0168-9002(91)90676-H		WOS:A1991GN15300102
Article from Conference in a Journal		ESRF91MA115		Martínez J.L., Cebollada A., Gallego J.M., de Miguel J.J., Ocal C., Miranda R., Ferrer S., Fillion G., Rebouillat J.P.	Neutron-diffraction study on the field dependent magnetic ordering in Co-Cu superlattices	Journal of Magnetism and Magnetic Materials	93	89-94	1991		ESRF (Grenoble)			10.1016/0304-8853(91)90309-X	WOS:A1991FP22100017
Journal article		ESRF91MI129		Miller A.	ESRF Users' information meeting	Synchrotron Radiation News	4	5	1991		ESRF (Grenoble)			10.1080/08940889108602641	
Report		ESRF91MI148		Miller A.	Proposed mechanism for allocation of beam time on ESRF-funded beamlines						ESRF (Grenoble)				
Journal article		ESRF91PE124		Pedersen J.S., Riekel C.	Resolution function and flux at the sample for small-angle x-ray scattering calculated in position-angle-wavelength space	Journal of Applied Crystallography	24	893-909	1991		ESRF (Grenoble)			10.1107/S0021889891003692	WOS:A1991GL62900072
Article from Conference in a Book		ESRF04RE439	France (ESRF)	Renier M., Schmied D., Trickett B.A.	Development of the ESRF vacuum system	Conference Proceedings	236	7-83	1991						
Article from Conference in a Book		ESRF07RE148	France (ESRF)	Renier M., Schmied D., Trickett B.A.	Development of the ESRF vacuum system	AIP Conference Proceedings	236	71-83	1991		ESRF (Grenoble)				
Book chapter		ESRF91RI106		Riekel C.	In situ characterization of electrodes by neutron scattering										
Article from Conference in a Book		ESRF91RI121		Riekel C.	Time resolved x-ray small angle scattering										
Journal article		ESRF91RI127		Riekel C., Suortti P.	Layout of a 4m double-focusing laboratory camera for small-angle scattering	Journal of Applied Crystallography	24	549-554	1991		ESRF (Grenoble)			10.1107/S0021889891001310	WOS:A1991GL62900017
Journal article		ESRF91RO132		Rodmacq B., Mangin P., Vettier C.	Evidence for antiferromagnetic coupling in Ag/Ni superlattices :A neutron scattering study	Europhysics Letters	15	503-507	1991		ESRF (Grenoble)			10.1209/0295-5075/15/5/006	WOS:A1991FU51300006
Article from Conference in a Journal		ESRF91RO133		Rossat-Mignod J.M., Regnault L.P., Vettier C., Bourges P., Burlet P., Bossy J., Henry J.Y., Lapertot G.	Neutron scattering study of the YBa2Cu3O6+x system	Physica C	185-189	86-92	1991				10.1016/0921-4534(91)91955-4		WOS:A1991GW82700020
Article from Conference in a Book		ESRF92RO181		Rossat-Mignod J.M., Regnault L.P., Vettier C., Burlet P., Henry J.Y., Lapertot G.	Inelastic neutron scattering study of superconducting YBa2Cu3O6+x system.										
External report		ESRF91SA138		Sánchez del Río M., Marcelli A.	Waviness effects in ray-tracing of 'real' optical surfaces										
Journal article		ESRF92ST153		Stuhr U., Wipf H., Vettier C., Schober H.R.	Lattice-parameter dependence of the diffusivity of hydrogen in niobium at low temperatures.	Solid State Communications	80	987-989	1991		ESRF (Grenoble)			10.1016/0038-1098(91)90404-J	WOS:A1991GY26400005
External report		ESRF91SU134		Suortti P., Tschentscher T., Schneider J.R., Hämäläinen K., Manninen S.	L-edges in the Compton profile of Au measured with 150 keV synchrotron radiation from a bent focussing Si monochromator	HASYLAB Jahresbericht			1991						
External report		ESRF91TS135		Tschentscher T., Schneider J.R., Hämäläinen K., Manninen S., Suortti P.	Compton profile of polycrystalline Au measured with 193 keV synchrotron radiation	HASYLAB Jahresbericht			1991						
Journal article		ESRF91VE104		Vergnat M., Houssaini S., Dufour C., Bruson A., Marchal G., Mangin P., Erwin R., Rhyne J.J., Vettier C.	Determination of short-range motion of hydrogen in amorphous silicon multilayers by low-angle neutron scattering	Europhysics Letters	14	457-462	1991		ESRF (Grenoble)			10.1209/0295-5075/14/5/012	WOS:A1991FA31800012
Article from Conference in a Book		ESRF91VE117		Vettier C., Burlet P., Regnault L.P., Rossat-Mignod J.M., Henry J.Y., Lapertot G.	Inelastic neutron scattering study of spin dynamics in YBa2Cu3O6+x										
Journal article		ESRF91VU128		Vuillard L., Clezardin P., Miller A.	Models of human platelet thrombospondin in solution. A dynamic light-scattering study	Biochemical Journal	275	263-266	1991		ESRF (Grenoble)			10.1042/bj2750263	WOS:A1991FF87000042
Non-refereed Journal		ESRF91WU122	France (ESRF)	Wulff M.	The Laue beamline	ESRF Newsletter	10	7-9	1991	ID9	ESRF (Grenoble)				
Report		ESRF91WU143		Wulff M.	White beam					ID9	ESRF (Grenoble)				
Article from Conference in a Book		ESRF91ZI114	France (ESRF)/France (not ESRF)/Spain	Ziegler E., Krisch M., Vasquez L., Susini J., Boher P., Houdy P.	Experimental study of Fe/C multilayer performance: Effects of substrate quality and of x-ray irradiation	Proceedings SPIE	1547	187-194	1991		ESRF (Grenoble)		10.1117/12.51286		
Journal article		ESRF91ZO131		Zontone F., Tuniz C., Zanini F.	Wavelength spread of doubly bent crystals for x-ray microfocusing applications	Nuclear Instruments and Methods in Physics Research B	56-57	968-970	1991		ESRF (Grenoble)		10.1016/0168-583X(91)95073-M		WOS:A1991FQ89000073
Non-refereed Journal		ESRF90AL106		Altarelli M.	The European Synchrotron Radiation Facility in Grenoble	Europhysics News	21	1-4	1990		ESRF (Grenoble)				
Article from Conference in a Journal		ESRF90AN130		Anderssen P.S., Frammery V., Wilcke R.	Tools for remote computing in accelerator control	Nuclear Instruments and Methods in Physics Research A	293	225-230	1990		ESRF (Grenoble)		10.1016/0168-9002(90)91432-B		WOS:A1990DU54700045
Journal article		ESRF90BA105		Baptist R., Ferrer S., Grenet G., Poon H.C.	Surface crystallography of YSi2-x films epitaxially grown on Si(l11): An x-ray photoelectron diffraction study	Physical Review Letters	64	311-314	1990		ESRF (Grenoble)		10.1103/PhysRevLett.64.311		WOS:A1990CH53000020
Journal article		ESRF90CA107		Carra P., Altarelli M.	Dichroism in the X-ray absorption spectra of magnetically ordered systems	Physical Review Letters	64	1286-1288	1990		ESRF (Grenoble)		10.1103/PhysRevLett.64.1286		WOS:A1990CT09800026
Article from Conference in a Journal		ESRF90EL101		Elleaume P.	A flexible planar/helical undulator design for synchrotron sources	Physica Scripta	T31	67-71	1990		ESRF (Grenoble)		10.1088/0031-8949/1990/T31/009		WOS:A1990DN39400011
Journal article		ESRF90EL102		Elleaume P.	A flexible planar/helical undulator design for synchrotron sources	Nuclear Instruments and Methods in Physics Research A	291	371-377	1990		ESRF (Grenoble)		10.1016/0168-9002(90)90089-O		WOS:A1990DL89700067
Book chapter		ESRF90EL119		Elleaume P.	Free electron laser undulators, electron trajectories and spontaneous emission						ESRF (Grenoble)				
Article from Conference in a Book		ESRF90EL110		Elleaume P.	Polarization of the synchrotron radiation from insertion devices and bending magnets										
Article from Conference in a Book		ESRF90FA118		Farvacque L., Ropert A.	Performance of the ESRF lattice in the presence of errors						ESRF (Grenoble)				
Article from Conference in a Journal		ESRF90FL137		Flouquet J., Haen P., Lejay P., Morin P., Jaccard D., Schweizer J., Vettier C., Fisher R.A., Phillips N.E.	Magnetic instability in Ce heavy fermion compounds	Journal of Magnetism and Magnetic Materials	90-91	377-382	1990		ESRF (Grenoble)		10.1016/S0304-8853(10)80138-6		WOS:A1990EX64600137
Article from Conference in a Book		ESRF90FR131		Freund A.K.	High energy x-ray diffraction	Proceedings SPIE	1345	234-244	1990		ESRF (Grenoble)				
Journal article		ESRF90FR103		Freund A.K., de Bergevin F., Marot G., Riekel C., Susini J., Zhang L., Ziegler E.	X-ray mirrors for the European synchrotron radiation facility	Optical Engineering	29	928-941	1990		ESRF (Grenoble)			10.1117/12.55678	WOS:A1990DT82500014
Journal article		ESRF90GA108		Gauthier C., Ascone I., Goulon J., Cortès R., Barbe J.M., Guilard R.	First experimental evidence of circularly polarized X-ray excited optical luminescence (XEOL) from chiral Eu3+ complexes	Chemical Physics	147	165-172	1990		ESRF (Grenoble)		10.1016/0301-0104(90)85032-R		WOS:A1990EC61000018
Article from Conference in a Book		ESRF90GA114		Gauthier C., Ascone I., Goulon J., Cortès R., Barbe J.M., Guilard R.	First experimental evidence of circularly polarized X-ray excited optical luminescence (XEOL) from chiral Eu3+ complexes	Conference Proceedings	25	395-402	1990						
Article from Conference in a Book		ESRF90GA115		Gauthier C., Nomura M., Ascone I., Goulon J., Cortès R., Lampert M.O., Henck R., Joiret S.	Near surface structural study of metal oxide overlayers using a pre-intensified Si-photodiode as an electron detector for X-ray spectroscopy										
Journal article		ESRF90GE129		Genies E.M., Boyle A., Lapkowski M., Tsintavis C.	Polyaniline: A historical survey	Synthetic Metals	36	139-182	1990				10.1016/0379-6779(90)90050-U		WOS:A1990DH59900001
Article from Conference in a Book		ESRF90G0111		Goulon J.	Systemes moleculaires: Dichroisme circulaire naturel et magnetique dans les spectroscopies optiques ou d'excitation des couches internes										
Article from Conference in a Journal		ESRF90HA126		Havela L., Sechovsky V., Nozar P., Brueck E., Boer F.R. DE, Klaasse J.C.P., Menovsky A.A., Fournier J.M., Wulff M., Sugiura E., Ono M., Date M., Yamagishi A.	Antiferromagnetic correlations in UNiAl	Physica B	163	313-316	1990		ESRF (Grenoble)		10.1016/0921-4526(90)90198-4		WOS:A1990DG46700087
Journal article		ESRF90HO113		Honkimäki V., Sleight J., Suortti P.	Characteristic X-ray flux from sealed Cr, Cu, Mo, Ag and W tubes	Journal of Applied Crystallography	23	412-417	1990		ESRF (Grenoble)		10.1107/S0021889890006082		WOS:A1990ED74900012
Non-refereed Journal		ESRF90HO124		Hornemann J.	Nu ligger det i Frankrig	Magisterbladet (Journal of Danish M.A.s & B.A.s/M.Sc.-B.Sc.)	17	14-15	1990		ESRF (Grenoble)				
Journal article		ESRF90KE122		Kellens M., Meeussen W., Riekel C., Reynaers H.	Time resolved x-ray diffraction studies of the polymorphic behaviour of tripalmitin using synchrotron radiation	Chemistry and Physics of Lipids	52	79-98	1990		ESRF (Grenoble)		10.1016/0009-3084(90)90153-I		WOS:A1990CP56400002
Journal article		ESRF90MA116		Martin J.A., Vázquez L., Bernard P., Comin F., Ferrer S.	Epitaxial growth of crystalline, diamond-like films on Si(100) by laser ablation of graphite	Applied Physics Letters	57	1742-1744	1990				10.1063/1.104053		WOS:A1990ED60800012
Book chapter		ESRF90MI121		Miller A.	Advanced synchrotron sources - Plans at ESRF						ESRF (Grenoble)				
Article from Conference in a Book		ESRF90MU117		Muelhaupt G.	Status of the ESRF						ESRF (Grenoble)				
Article from Conference in a Journal		ESRF90RE136		Regnault L.P., Jacoud J.L., Mignot J.M., Rossat-Mignod J.M., Vettier C., Lejay P., Flouquet J.	Neutron scattering study of the magnetic-non-magnetic transition in Ce1-xLaxRu2Si2	Journal of Magnetism and Magnetic Materials	90-91	398-400	1990		ESRF (Grenoble)			10.1016/S0304-8853(10)80142-8	WOS:A1990EX64600141
Journal article		ESRF90RO109		Robinson I.K., Vlieg E., Ferrer S.	Oxygen-induced missing-row reconstruction of Cu(00l) and Cu(00l)-vicinal surfaces	Physical Review B	42	6954-6962	1990		ESRF (Grenoble)		10.1103/PhysRevB.42.6954		WOS:A1990ED62200008
Article from Conference in a Journal		ESRF90RO135		Rossat-Mignod J.M., Burlet P., Regnault L.P., Vettier C.	Neutron scattering and magnetic phase transitions	Journal of Magnetism and Magnetic Materials	90-91	5-16	1990		ESRF (Grenoble)		10.1016/S0304-8853(10)80006-X		WOS:A1990EX64600005
Journal article		ESRF90SI112		Siddons D.P., Riekel C., Hastings J.B.	Small-angle X-ray scattering at high energies	Journal of Applied Crystallography	23	401-405	1990		ESRF (Grenoble)		10.1107/S0021889890005787		WOS:A1990ED74900010
Journal article		ESRF90SU125		Suortti P., Thomlinson W., Chapman D.L., Gmuer N., Greene R., Lazarz N.	Performance evaluation of a bent Laue monochromator	Nuclear Instruments and Methods in Physics Research A	297	268-274	1990		ESRF (Grenoble)		10.1016/0168-9002(90)91375-L		WOS:A1990ER73100031
Article from Conference in a Journal		ESRF90TR120		Trickett B.A., Burnside C., Le Flem G., Schmied D., Williams E.M.	Effects of high energy synchrotron radiation at copper surfaces	Vacuum	41	2086-2088	1990		ESRF (Grenoble)		10.1016/0042-207X(90)94185-S		WOS:A1990EV61600152
Article from Conference in a Journal		ESRF90TR133		Trickett B.A., Renier M.	Status of the ESRF vacuum system	Il Vuoto	20		1990		ESRF (Grenoble)				
Journal article		ESRF90WI104		Witte K.	ESRF: A progress Report	Synchrotron Radiation News	3	n. 4, 6-13	1990						
Journal article		ESRF90WU127		Wulff M., Eriksson O., Johansson B., Lebech B., Brooks M.S.S., Lander G.H., Rebizant J., Spirlet J.C., Brown P.J.	Experiment and theory of actinide intermetallic magnetism: A test case of NpCo2	Europhysics Letters	11	269-274	1990		ESRF (Grenoble)		10.1209/0295-5075/11/3/014		WOS:A1990CN77300014
Article from Conference in a Journal		ESRF90WU128		Wulff M., Fournier J.M., Delapalme A., Gillon B., Sechovsky A., Havela L., Andreev A.V.	Study of orbital and spin magnetism in UCoAl by polarized neutron diffraction	Physica B	163	331-334	1990		ESRF (Grenoble)		10.1016/0921-4526(90)90203-7		WOS:A1990DG46700092
Book chapter		ESRF89AL123		Altarelli M.	Electronic states in semiconductor superlattices and quantum wells										
Article from Conference in a Journal		ESRF89AL105	France (ESRF)	Altarelli M.	The European Synchrotron Radiation Facility in Grenoble	Physica B	158	302-305	1989		ESRF (Grenoble)			10.1016/0921-4526(89)90292-5	WOS:A1989AE26500114
Journal article		ESRF89AL121		Altarelli M., Platero G.	Hole levels of GaAs-GaAlAs quantum wells in a parallel magnetic field.	Superlattices and Microstructures	5	499-502	1989					10.1016/0749-6036(89)90371-6	WOS:A1989U122000006
Article from Conference in a Journal		ESRF89BE118		Belakhovsky M.	ESRF: Specificity and grazing techniques	Colloque de Physique	50	C7-107-C7-116	1989		ESRF (Grenoble)				WOS:A1989CC52300011
Journal article		ESRF89BE101		Belakhovsky M.	L'ESRF a Grenoble: Une source de RX optimisee	Journal de Chimie Physique & de Physico Chimie Biologique	86	1453-1471	1989		ESRF (Grenoble)				
Journal article		ESRF89BE117		Belakhovsky M.	L'ESRF a Grenoble: Une source de RX optimisee	Bulletin de la Société Française de Physique	71	23-28	1989		ESRF (Grenoble)				
Journal article		ESRF89CA113		Carra P., Altarelli M., de Bergevin F.	Resonant exchange scattering of x-rays in ferromagnetic systems	Physical Review B	40	7324-7327	1989					10.1103/PhysRevB.40.7324	WOS:A1989AU62900120
Article from Conference in a Journal		ESRF89CO116		Comin F., Paolone S., Rossi G.	The structure of a Si(l 11)7x7: Ge interface determined by SEXAFS	Surface Science	211-212	511-517	1989		ESRF (Grenoble)			10.1016/0039-6028(89)90808-X	WOS:A1989U108200062
Journal article		ESRF89CO111		Couprie M.E., Bazin C., Bergher M., Billardon M., Elleaume P., Ortega J.M., Petroff Y., Prazeres R., Velghe M.	Orsay free electron laser activities on the storage ring ACO and super-ACO	Nuclear Instruments and Methods in Physics Research A	282	455-476	1989		ESRF (Grenoble)			10.1016/0168-9002(89)90024-7	WOS:A1989AW92200022
Article from Conference in a Book		ESRF89BE114		de Bergevin F., Freund A.K., Marot G., Susini J., Zhang L., Ziegler E.	X-ray mirrors for the European Synchrotron Radiation Facility	Proceedings SPIE	1160	457-464	1989		ESRF (Grenoble)				
Journal article		ESRF89EL110		Elleaume P.	ESRF insertion devices, design considerations	Nuclear Instruments and Methods in Physics Research A	282	477-480	1989		ESRF (Grenoble)			10.1016/0168-9002(89)90025-9	WOS:A1989AW92200023
Journal article		ESRF89EL115		Elleaume P.	Generation of various polarisation states from insertion devices: A review	Review of Scientific Instruments	60	830-1833	1989		ELETTRA (Triestre)			10.1063/1.1140915	WOS:A1989AG22100106
Book chapter		ESRF89FA104		Fasolino A., Altarelli M.	Effect of parallel magnetic field on the hole levels in semiconductor superlattices										
Article from Conference in a Book		ESRF88FR117		Freund A.K.	X-ray optics for synchrotron radiation.										
Journal article		ESRF89GE108		Gehrke R., Riekel C., Zachmann H.G.	Determination of the temperature and time dependence of the absolute small-angle X-ray scattering intensity of partially crystalline polymers employing synchrotron radiation	Polymer	30	1582-1590	1989					10.1016/0032-3861(89)90316-9	WOS:A1989AM45200003
Journal article		ESRF89HA127		Haensel R.	The European Synchrotron Radiation Facility	Nuclear Instruments and Methods in Physics Research A	282	375-379	1989		ESRF (Grenoble)			10.1016/0168-9002(89)90005-3	WOS:A1989AW92200003
Journal article		ESRF89HA122		Hammersley A.P., Riekel C.	MFIT: Multiple spectra fitting program.	Synchrotron Radiation News	2	n. 1, 24-26	1989		ESRF (Grenoble)			10.1080/08940888908261193	
Article from Conference in a Journal		ESRF89LA112		Laclare J.L.	ESRF X-ray synchrotron radiation source	Review of Scientific Instruments	60	1399-1402	1989		ESRF (Grenoble)			10.1063/1.1141002	WOS:A1989AG22100009
Journal article		ESRF89PL102		Platero G., Altarelli M.	Valence-band levels and optical transitions in quantum wells in a parallel magnetic field	Physical Review B	39	3758-3763	1989					10.1103/PhysRevB.39.3758	WOS:A1989U261700037
