Document type,Open Access,Number,Authors countries,Authors,Title,Journal title,Volume,Pages,Year,Beamline(s),Facility used,Proposal number,DOI,DOI added,WoS Number,Type,Facility repository
Journal article,OA,ESRF25KO101,The Netherlands/France (ESRF),"Komarova T.Yu., Zinn T., Narayanan T., Petukhov A.V., Landman J.",Microtube self-assembly leads to conformational freezing point depression,Journal of Colloid and Interface Science,677,781-789,2025.0,ID2,ESRF (Grenoble),"SC-4987, SC-5177",10.1016/j.jcis.2024.08.003,,,1,ESRF
Journal article,OA,ESRF24AD472,Germany/France (ESRF),"Adler P., Medvedev S.A., Mu Q., Bessas D., Chumakov A., Yaroslavtsev S., Jansen M., Felser C.",Electronic and magnetic phase diagram of Sr2FeO4 at high pressure: A synchrotron Mössbauer study,Physical Review B,110,054444-1-054444-12,2024.0,ID18,ESRF (Grenoble),"HC-4292, HC-4728",10.1103/PhysRevB.110.054444,,,1,ESRF
Journal article,,ESRF24AG344,France (not ESRF)/USA/France (ESRF)/UK,"Agafonov A., Pineda-Romero N., Witman M., Nassif V., Vaughan G.B.M., Lei L., Ling S., Grant D.M., Dornheim M., Allendorf M., Stavila V., Zlotea C.",Destabilizing high-capacity high entropy hydrides via earth abundant substitutions: From predictions to experimental validation,Acta Materialia,276,120086-1-120086-10,2024.0,ID15A,ESRF (Grenoble),,10.1016/j.actamat.2024.120086,,,1,ESRF
Journal article,,ESRF24AG388,UK/Italy/France (not ESRF)/France (ESRF)/Germany/USA,"Agrestini S., Borgatti F., Florio P., Frassineti J., Fiore Mosca D., Faure Q., Detlefs B., Sahle C.J., Francoual S., Choi J., García-Fernández M., Zhou K.J., Mitrovic V. F., Woodward P.M., Ghiringhelli G., Franchini C., Boscherini F., Sanna S., Moretti Sala M.",Origin of magnetism in a supposedly nonmagnetic osmium oxide,Physical Review Letters,133,066501-1-066501-7,2024.0,ID20,ESRF (Grenoble)/DIAMOND (Didcot)/PETRA III,"HC-4277, HC-4912",10.1103/PhysRevLett.133.066501,,,1,ESRF
Journal article,OA,ESRF24AK362,Germany/Sweden/UK/France (ESRF),"Akbar F., Aslandukova A., Yin Y., Aslandukov A., Laniel D., Bykova E., Bykov M., Lawrence Bright E., Wright J., Comboni D., Hanfland M., Dubrovinskaia N., Dubrovinsky L.","High-pressure dysprosium carbides containing carbon dimers, trimers, chains, and ribbons",Carbon,228,119374-1-119374-8,2024.0,ID11/ID15B,ESRF (Grenoble),,10.1016/j.carbon.2024.119374,,,1,ESRF
Journal article,OA,ESRF24AL250,Switzerland/France (ESRF),"Albertini P.P., Newton M.A., Wang M., Segura Lecina O., Green P.B., Stoian D.C., Oveisi E., Loiudice A., Buonsanti R.",Hybrid oxide coatings generate stable Cu catalysts for CO2 electroreduction,Nature Materials,23,680-687,2024.0,BM31,ESRF (Grenoble),,10.1038/s41563-024-01819-x,,,1,ESRF
Journal article,OA,ESRF24AM243,Spain/Brazil/France (ESRF),"Amorín H., Venet M., García J.E., Ochoa D.A., Ramos P., López-Sánchez J., Rubio-Zuazo J., Castro A., Algueró M.",Insights into the Early Size Effects of Lead‐Free Piezoelectric Ba0.85Ca0.15Zr0.1Ti0.9O3,Advanced Electronic Materials,10,2300556-1-2300556-12,2024.0,BM25,ESRF (Grenoble),MA-4727,10.1002/aelm.202300556,,,1,ESRF
Journal article,OA,ESRF24AN508,Spain/UK/France (not ESRF)/USA/France (ESRF),"Anzellini S., Herlihy A., Dominijanni S., Botella P., Brooks A., Burakovsky L., Pakhomova A., Errandonea D.",Phase diagram of ruthenium characterized In Situ by synchrotron X-ray diffraction and Ab Initio simulations,Results in Physics,65,107961-1-107961-9,2024.0,ID27,ESRF (Grenoble),,10.1016/j.rinp.2024.107961,,,1,ESRF
Journal article,,ESRF24AS147,Sweden/Germany/Italy/Slovakia/Czech Republic/France (ESRF)/UK/Japan,"Asimakopoulou E.M., Bellucci V., Birnsteinova S., Yao Z., Zhang Y., Petrov I., Deiter C., Mazzolari A., Romagnoni M., Korytár D., Záprazný Z., Kuglerova Z., Juha L., Lukic B., Rack A., Samoylova L., García-Moreno F., Hall S.A., Neu T., Liang X., Vagovic P., Villanueva-Perez P.",Development towards high-resolution kHz-speed rotation-free volumetric imaging,Optics Express,32,4413-4426,2024.0,ID19,ESRF (Grenoble),MI-1449,10.1364/OE.510800,,,1,ESRF
Journal article,,ESRF24AS195,Germany/UK/Sweden/USA/France (ESRF),"Aslandukov A., Aslandukova A., Laniel D., Khandarkhaeva S., Yin Y., Akbar F.I., Chariton S., Prakapenka V., Lawrence Bright E., Giacobbe C., Wright J., Comboni D., Hanfland M., Dubrovinskaia N., Dubrovinsky L.",Stabilization of N6 and N8 anionic units and 2D polynitrogen layers in high-pressure scandium polynitrides,Nature Communications,15,2244-1-2244-9,2024.0,ID11/ID15B,ESRF (Grenoble)/APS (Argonne),,10.1038/s41467-024-46313-9,,WOS:001185523200036,1,ESRF
Journal article,OA,ESRF24AS353,Germany/UK/Sweden/France (ESRF),"Aslandukov A., Liang A., Ehn A., Trybel F., Yin Y., Aslandukova A., Akbar F.I., Ranieri U., Spender J., Howie R.T., Lawrence Bright E., Wright J., Hanfland M., Garbarino G., Mezouar M., Fedotenko T., Abrikosov I.A., Dubrovinskaia N., Dubrovinsky L., Laniel D.","Synthesis of LaCN3, TbCN3, CeCN5, and TbCN5 Polycarbonitrides at Megabar Pressures",Journal of the American Chemical Society,146,18161-18171,2024.0,ID11/ID15B/ID27,ESRF (Grenoble)/PETRA III,,10.1021/jacs.4c06068,,,1,ESRF
Journal article,,ESRF24AS430,Germany/Sweden/France (ESRF)/USA,"Aslandukova A., Aslandukov A., Akbar F.I., Yin Y., Trybel F., Hanfland M., Pakhomova A., Chariton S., Prakapenka V., Dubrovinskaia N., Dubrovinsky L.",High-pressure oC16-YBr3 polymorph recoverable to ambient conditions: From 3D framework to layered material,Inorganic Chemistry,63,15611-15618,2024.0,ID15B/ID27,ESRF (Grenoble)/APS (Argonne),,10.1021/acs.inorgchem.4c00813,,,1,ESRF
Journal article,,ESRF24AS207,Germany/UK/China/Sweden/France (ESRF)/USA,"Aslandukova A., Aslandukov A., Laniel D., Yin Y., Akbar F.I., Bykov M., Fedotenko T., Glazyrin K., Pakhomova A., Garbarino G., Lawrence Bright E., Wright J., Hanfland M., Chariton S., Prakapenka V., Dubrovinskaia N., Dubrovinsky L.",Diverse high-pressure chemistry in Y-NH3BH3 and Y–paraffin oil systems,Science Advances,10,eadl5416-1-eadl5416-8,2024.0,ID11/ID15B/ID27,ESRF (Grenoble)/APS (Argonne)/PETRA III,,10.1126/sciadv.adl5416,,,1,ESRF
Journal article,OA,ESRF24AT310,Greece/The Netherlands/France (ESRF),"Athanasiadou M., Papaefthymiou C., Kontarinis A., Spiliopoulou M., Koutoulas D., Konstantopoulos M., Kafetzi S., Barlos K., Barlos K.K., Dadivanyan N., Beckers D., Degen T., Fitch A.N., Margiolaki I.",Structural evolution of the pharmaceutical peptide octreotide upon controlled relative humidity and temperature variation,SynBio,2,205-222,2024.0,ID22_HRPD,ESRF (Grenoble),,10.3390/synbio2020012,,,1,ESRF
Journal article,,ESRF24AZ352,USA/Switzerland/France (ESRF),"Azevedo A., Lesser E., Phelps J.S., Mark B., Elabbady L., Kuroda S., Sustar A., Moussa A., Khandelwal A., Dallmann C.J., Agrawal S., Lee S.Y.J., Pratt B., Cook A., Skutt-Kakaria K., Gerhard S., Lu R., Kemnitz N., Lee K., Halageri A., Castro M., Ih D., Gager J., Tammam M., Dorkenwald S., Collman F., Schneider-Mizell C., Brittain D., Jordan C.S., Dickinson M., Pacureanu A., Seung H.S., Macrina T., Lee W.C.A., Tuthill J.C.",Connectomic reconstruction of a female Drosophila ventral nerve cord,Nature,631,360-368,2024.0,ID16A,ESRF (Grenoble),LS-3033,10.1038/s41586-024-07389-x,,,1,ESRF
Journal article,,ESRF24BA217,USA/China/France (ESRF),"Bader J., Zhu W.L., Montési L., Qi C., Cordonnier B., Kohlstedt D., Warren J.","Effects of stress-driven melt segregation on melt orientation, melt connectivity and anisotropic permeability",Journal of Geophysical Research: Solid Earth,129,e2023JB028065-1-e2023JB028065-22,2024.0,ID19,ESRF (Grenoble),ES-992,10.1029/2023jb028065,,WOS:001177433800001,1,ESRF
Journal article,,ESRF24BA389,Russia/Spain/France (ESRF),"Balagurov A.M., Bobrikov I.A., Chernyshov D.Y., Sohatsky A.S., Sumnikov S.V., Yerzhanov B., Golovin I.S.",Tetragonal phases in Fe-Ga alloys: A quantitative study,Physical Review Materials,8,073604-1-073604-13,2024.0,BM1A/ID28,ESRF (Grenoble),,10.1103/PhysRevMaterials.8.073604,,,1,ESRF
Journal article,,ESRF24BA111,UK/France (ESRF)/France (not ESRF),"Ball J.A.D., Davis C., Slater C., Vashishtha H., Said M., Hébrard L., Steinhilber F., Wright J.P., Connolley T., Michalik S., Collins D.M.",Grain-level effects on in-situ deformation-induced phase transformations in a complex-phase steel using 3DXRD and EBSD,Acta Materialia,265,119608-1-119608-17,2024.0,ID11,ESRF (Grenoble),MA-4750,10.1016/j.actamat.2023.119608,,,1,ESRF
Journal article,OA,ESRF24BA384,UK/India/Switzerland/France (not ESRF)/Italy/France (ESRF),"Bandyopadhyay A., Das D., Chakraborty A., Bhowal S., Kumar V., Stenning G.B.G., Ritter C., Adroja D., Moretti Sala M., Efimenko A., Meneghini C., Bert F., Biswas P.K., Dasgupta I., Saha Dasgupta T., Mahajan A.V., Ray S.",Disordered magnetic ground state in a quasi-1-D d4 columnar iridate Sr3LiIrO6,Journal of Physics Condensed Matter,36,425804-1-425804-20,2024.0,ID20,ESRF (Grenoble),HC-2872,10.1088/1361-648X/ad63eb,,,1,ESRF
Journal article,,ESRF24BA203,France (not ESRF)/France (ESRF)/Germany/Italy/Poland,"Barreau M., Salusso D., Zhang J., Haevecker M., Teschner D., Efimenko A., Bournel F., Gallet J.J., Borfecchia E., Sobczak K., Petit C., Zafeiratos S.",Uncovering the critical function of lanthanum in CH4 production from CO2 using exsolved LaNiO3 perovskite catalysts,Journal of Materials Chemistry A,12,7605-7621,2024.0,BM23,ESRF (Grenoble)/BESSY (Germany),,10.1039/d3ta07391b,,WOS:001178414500001,1,ESRF
Journal article,OA,ESRF24BA106,Italy/France (ESRF)/Germany,"Battiston T., Comboni D., Lotti P., Ferrarelli G., Migliori M., Giordano G., Hanfland M., Garbarino G., Liermann H.P., Gatta G.D.",High-pressure adsorption phenomena in natural and synthetic zeolites with EAB topology,Microporous and Mesoporous Materials,365,112873-1-112873-10,2024.0,ID15B,ESRF (Grenoble)/PETRA III,,10.1016/j.micromeso.2023.112873,,,1,ESRF
Journal article,,ESRF24BA390,France (not ESRF)/France (ESRF),"Bauland J., Manna G., Divoux T., Gibaud T.",Two-step aging dynamics in enzymatic milk gels,Physical Review Materials,8,L072601-1-L072601-6,2024.0,ID2,ESRF (Grenoble),SC-5455,10.1103/PhysRevMaterials.8.L072601,,,1,ESRF
Journal article,OA,ESRF24BE288,Argentina/Germany/France (ESRF)/Canada/Japan,"Bejas M., Zimmermann V., Betto D., Boyko T.D., Green R.J., Loew T., Brookes N.B., Cristiani G., Logvenov G., Minola M., Keimer B., Yamase H., Greco A., Hepting M.",Plasmon dispersion in bilayer cuprate superconductors,Physical Review B,109,144516-1-144516-8,2024.0,ID32-SXS,ESRF (Grenoble),,10.1103/PhysRevB.109.144516,,WOS:001229864400001,1,ESRF
Journal article,,ESRF24BE121,South Africa/USA/France (ESRF)/Spain,"Benoit J., Kammerer C.F., Dollman K., Groenewald D.P., Smith R.M.H.","Did gorgonopsians survive the end-Permian “Great Dying”? A re-appraisal of three gorgonopsian specimens (Therapsida, Theriodontia) reported from the Triassic Lystrosaurus declivis Assemblage Zone, Karoo Basin, South Africa","Palaeogeography, Palaeoclimatology, Palaeoecology",638,112044-1-112044-16,2024.0,BM18,ESRF (Grenoble),HG-177,10.1016/j.palaeo.2024.112044,,,1,ESRF
Journal article,,ESRF24BE300,Switzerland/France (ESRF),"Bernasconi F., Plainpan N., Mirolo M., Wang Q., Zeng P., Battaglia C., Senocrate A.",Operando observation of (bi)carbonate precipitation during electrochemical CO2 reduction in strongly acidic electrolytes,ACS Catalysis,14,8232-8237,2024.0,ID31_BIB,ESRF (Grenoble),"MA-5874, IH-CH-1776",10.1021/acscatal.4c01884,,WOS:001225228600001,1,ESRF
Journal article,,ESRF24BE253,Italy/France (ESRF),"Berretti E., Giaccherini A., Dell'Aquila V., Di Benedetto F., Montegrossi G., Lepore G.O., Innocenti M., d'Acapito F., Vizza F., Lavacchi A.",In-situ and operando Grazing Incidence XAS: a novel set-up and its application to model Pd electrodes for alcohols oxidation,Pure and Applied Chemistry,96,493-509,2024.0,BM8,ESRF (Grenoble),CH-6101,10.1515/pac-2023-1013,,,1,ESRF
Journal article,OA,ESRF24BI369,Switzerland/Poland/Spain/Austria/UK/France (ESRF)/USA/China,"Bialo I., Martinelli L., De Luca G., Worm P., Drewanowski A., Jöhr S., Choi J., García-Fernández M., Agrestini S., Zhou K.J., Kummer K., Brookes N.B., Guo L., Edgeton A., Eom C.B., Tomczak J.M., Held K., Gibert M., Wang Q., Chang J.",Strain-tuned incompatible magnetic exchange-interaction in La2NiO4,Communications Physics,7,230-1-230-7,2024.0,ID32-SXS,ESRF (Grenoble)/DIAMOND (Didcot),HC-5241,10.1038/s42005-024-01701-x,,,1,ESRF
Journal article,OA,ESRF24BI118,Switzerland/France (ESRF),"Biasiori-Poulanges L., Lukic B., Supponen O.",Cavitation cloud formation and surface damage of a model stone in a high-intensity focused ultrasound field,Ultrasonics Sonochemistry,102,106738-1-106738-11,2024.0,ID19,ESRF (Grenoble),ME-1599,10.1016/j.ultsonch.2023.106738,,,1,ESRF
Journal article,OA,ESRF24BI334,Israel/France (ESRF)/Canada/USA,"Biran I., Bosak A., Ye Z.G., Levin I., Gorfman S.",Lattice match between coexisting cubic and tetragonal phases in PMN-PT at the phase transition,Applied Physics Letters,124,242901-1-242901-6,2024.0,ID28,ESRF (Grenoble),,10.1063/5.0202576,,WOS:001245498900001,1,ESRF
Journal article,OA,ESRF24BL348,Belgium/France (not ESRF)/Trinidad and Tobago/France (ESRF),"Blommaert H., Castillo-Michel H., Veronesi G., Tucoulou R., Beauchêne J., Umaharan P., Smolders E., Sarret G.",Ca-oxalate crystals are involved in cadmium storage in a high Cd accumulating cultivar of cacao,Environmental and Experimental Botany,221,105713-1-105713-11,2024.0,ID21/ID16B,ESRF (Grenoble),"ev-476, ev508",10.1016/j.envexpbot.2024.105713,,,1,ESRF
Journal article,OA,ESRF24BO294,UK/France (ESRF)/Germany/Switzerland/France (not ESRF),"Bolton R., Machelett M.M., Stubbs J., Axford D., Caramello N., Catapano L., Malý M., Rodrigues M.J., Cordery C., Tizzard G.J., MacMillan F., Engilberge S., von Stetten D., Tosha T., Sugimoto H., Worrall J.A.R., Webb J.S., Zubkov M., Coles S., Mathieu E., Steiner R.A., Murshudov G., Schrader T.E., Orville A.M., Royant A., Evans G., Hough M.A., Owen R.L., Tews I.",A redox switch allows binding of Fe(II) and Fe(III) ions in the cyanobacterial iron- binding protein FutA from Prochlorococcus,Proceedings of the National Academy of Sciences of the USA,121,e2308478121-1-e2308478121-6,2024.0,BM7_FIP2/icOS,"DIAMOND (Didcot)/ESRF (Grenoble)/SACLA (Nishi Harima, Japan)","MX-2373, MX-2374",10.1073/pnas.2308478121,,WOS:001206418700003,1,ESRF
Journal article,,ESRF24BO227,Denmark/France (ESRF),"Borgi S., Raeder T.M., Carlsen M.A., Detlefs C., Winther G., Poulsen H.F.",Simulations of dislocation contrast in dark-field X-ray microscopy,Journal of Applied Crystallography,57,358-368,2024.0,ID6-HXM,ESRF (Grenoble),,10.1107/S1600576724001183,,,1,ESRF
Journal article,,ESRF24BO452,France (ESRF),"Bosak A., Chaney D.A.",High pressure phonon spectroscopy at ESRF: ID28 beamline,High Pressure Research,44,361-371,2024.0,ID28,ESRF (Grenoble),,10.1080/08957959.2024.2363929,,,1,ESRF
Journal article,,ESRF24BR220,Germany/France (ESRF),"Briega-Martos V., Fuchs T., Drnec J., Magnussen O.M., Cherevko S.",Effects of anions and surface structure on Pt single crystal dissolution in acidic electrolytes,ChemElectroChem,11,e202300554-1-e202300554-11,2024.0,ID31_BIB,ESRF (Grenoble),,10.1002/celc.202300554,,WOS:001143661800001,1,ESRF
Journal article,OA,ESRF24BR365,UK/France (ESRF)/Germany/France (not ESRF),"Brunet J., Cook A.C., Walsh C.L., Cranley J., Tafforeau P., Engel K., Arthurs O., Berruyer C., O’Leary E.B., Bellier A., Torii R., Werlein C., Jonigk D.D., Ackermann M., Dollman K., Lee P.D.",Multidimensional analysis of the adult human heart in health and disease using hierarchical phase-contrast tomography,Radiology,312,e232731-1-e232731-9,2024.0,BM18,ESRF (Grenoble),,10.1148/radiol.232731,,,1,ESRF
Journal article,OA,ESRF24BU475,France (ESRF)/France (not ESRF)/Germany,"Bugarin L., Suarez Orduz H.A., Glatzel P.",Area normalization of HERFD-XANES spectra,Journal of Synchrotron Radiation,31,1118-1125,2024.0,ID26,ESRF (Grenoble),,10.1107/S1600577524005307,,,1,ESRF
Journal article,OA,ESRF24BU428,UK/Denmark/France (ESRF)/France (not ESRF),"Burrow T.G., Alcock N.M., Huzan M.S., Dunstan M.A., Seed J.A., Detlefs B., Glatzel P., Hunault M.O.J.Y., Bendix J., Pedersen K.S., Baker M.L.",Determination of uranium central-field covalency with 3d4f resonant inelastic X-ray scattering,Journal of the American Chemical Society,146,22570-22582,2024.0,ID26,ESRF (Grenoble)/Soleil (Orsay),CH-6518,10.1021/jacs.4c06869,,,1,ESRF
Journal article,OA,ESRF24BU484,France (not ESRF)/France (ESRF),"Buttard M., Chéhab B., Josserond C., Charlot F., Lhuissier P., Bataillon X., Deschamps A., Villanova J., Fivel M., Blandin J.J., Martin G.",Influence of microstructure heterogeneity on the tensile response of an Aluminium alloy designed for laser powder bed fusion,Acta Materialia,269,119786-1-119786-18,2024.0,ID16B,ESRF (Grenoble),"MA-4632, MA-5086, MA-4928",10.1016/j.actamat.2024.119786,,,1,ESRF
Journal article,,ESRF24CA129,Italy/France (not ESRF)/France (ESRF),"Cademartori D., Hubert M., Cloetens P., Carpanese M.P., Laurencin J.",The design optimization of nanostructured hierarchical electrodes for solid oxide cells by artificial impregnation,Materials and Design,238,112663-1-112663-15,2024.0,ID16A,ESRF (Grenoble),MA-5514,10.1016/j.matdes.2024.112663,,,1,ESRF
Journal article,,ESRF24CA274,USA/France (ESRF),"Campbell I., Garlea V.O., Zhang Q., Adhikari Y., Xiong P., Yutronkie N.J., Rogalev A., Shatruk M.",Antiferromagnetic ordering in quasi-one-dimensional FeBi4S7,Chemistry of Materials,36,3417-3423,2024.0,ID12,ESRF (Grenoble),,10.1021/acs.chemmater.4c00249,,WOS:001191186000001,1,ESRF
Journal article,,ESRF24CA429,France (not ESRF)/France (ESRF),"Campos-Roldán C.A., Chattot R., Filhol J.S., Guesmi H., Romero N., Bacabe R., Blanchard P.Y., Vinci V., Drnec J., Rozière J., Jones D.J., Cavaliere S.",Deciphering the atomic-scale degradation of carbon-supported platinum–yttrium nanoalloys during the oxygen reduction reaction in acidic medium,ACS Catalysis,14,11941-11948,2024.0,ID31_BIB,ESRF (Grenoble),CH-6562,10.1021/acscatal.4c02616,,,1,ESRF
Journal article,OA,ESRF24CA241,France (ESRF)/Germany/France (not ESRF),"Capria E., Ciuffini A., Drnec J., De Nolf W., Fares-Slim M., Frey J., Hinrichsen B., Honkimäki V., Levantino M., Mathon O., Mitchell E., Muñoz M., Papazoglou A., Terban M.W., Watier Y.",Adapting the European Synchrotron to Industry,Synchrotron Radiation News,37,10-15,2024.0,,ESRF (Grenoble),,10.1080/08940886.2024.2329039,,,1,ESRF
Journal article,,ESRF24CA218,France (not ESRF)/France (ESRF),"Carpentier P., van der Linden P., Mueller-Dieckmann C.","The High-Pressure Freezing Laboratory for Macromolecular Crystallography (HPMX), an ancillary tool for the macromolecular crystallography beamlines at the ESRF",Acta Crystallographica D,80,80-92,2024.0,HPMX/PSCM,ESRF (Grenoble),,10.1107/s2059798323010707,,WOS:001184341400002,1,ESRF
Journal article,,ESRF24CA335,Spain/France (ESRF),"Caso D., García-Prieto A., Sebastiani-Tofano E., Kamra A., Hernández C., Prieto P., Aliev F.G.",Standing spin waves in permalloy-NiO bilayers as a probe of the interfacial exchange coupling,Physical Review Applied,21,064044-1-064044-15,2024.0,BM25,ESRF (Grenoble),,10.1103/PhysRevApplied.21.064044,,,1,ESRF
Journal article,,ESRF24CA130,Spain/France (ESRF),"Castellano-Soria A., Navarro E., López-Sánchez J., Marín P.",A novel methodology for designing mono/Bi-slab X-band microwave absorbers of carbon-powder composites,Materials and Design,238,112641-1-112641-14,2024.0,BM25,ESRF (Grenoble),,10.1016/j.matdes.2024.112641,,,1,ESRF
Book chapter,,ESRF24CA135,France (ESRF)/Spain,"Castro G.R., Zuazo J.R.","Hard X-ray photoelectron spectroscopy and X-ray diffraction techniques: non-destructive compositional, electronic, chemical and structural in-depth characterization in the tens-of-nanometer scale",,,,,BM25,ESRF (Grenoble),,10.1016/B978-0-323-91150-4.00013-6,,,1,ESRF
Journal article,OA,ESRF24CE254,Italy/Austria/France (ESRF),"Ceppatelli M., Serrano-Ruiz M., Morana M., Dziubek K., Scelta D., Garbarino G., Poreba T., Mezouar M., Bini R., Peruzzini M.",High‐pressure and high‐temperature synthesis of crystalline Sb3N5,Angewandte Chemie International Edition,63, e202319278,2024.0,ID27,ESRF (Grenoble),"CH-6299, CH-6635",10.1002/anie.202319278,,,1,ESRF
Journal article,,ESRF24WA387,Taiwan/India/The Netherlands/France (ESRF),"Chang Y.H., Pál A., Yen P.T.W., Wang C.W., Giri S., Blake G.R., Gainza J., Hsieh M.J., Lin J.Y., Huang C.Y., Chen Y.J., Kuo T.W., Tiwari A., Chandrasekhar Kakarla D., Yang H.D.",Field-induced transformation of complex spin ordering and magnetodielectric and magnetoelastic coupling in MnGeTeO6,Physical Review B,110,064405-1-064405-14,2024.0,ID22_HRPD,ESRF (Grenoble),IH-HC-4009,10.1103/PhysRevB.110.064405,,,1,ESRF
Journal article,,ESRF24CH299,France (not ESRF)/France (ESRF)/Israel,"Chatelier C., Atlan C., Dupraz M., Leake S., Li N., Schülli T.U., Levi M., Rabkin E., Favre L., Labat S., Eymery J., Richard M.I.",Unveiling core-shell structure formation in a Ni3Fe nanoparticle with in situ multi-Bragg coherent diffraction imaging,ACS Nano,18,13517-13527,2024.0,ID1,ESRF (Grenoble),HC-4050,10.1021/acsnano.3c11534,,WOS:001225893400001,1,ESRF
Journal article,OA,ESRF24CH327,France (ESRF)/France (not ESRF)/Portugal/Belgium,"Chen B., Fan D., Pinto R.V., Dovgaliuk I., Nandi S., Chakraborty D., García-Moncada N., Vimont A., McMonagle C.J., Bordonhos M., Al Mohtar A., Cornu I., Florian P., Heymans N., Daturi M., De Weireld G., Pinto M., Nouar F., Maurin G., Mouchaham G., Serre C.",A scalable robust microporous Al-MOF for post-combustion carbon capture,Advanced Science,11,2401070-1-2401070-15,2024.0,BM1,ESRF (Grenoble),CH-6192,10.1002/advs.202401070,,WOS:001189998900001,1,ESRF
Journal article,,ESRF24CH302,China/France (ESRF),"Chen S., Wang Y., Bai F., Wu X., Wu X.Y., Pakhomova A., Guo J., Huang X., Cui T.",Superior superconducting properties realized in quaternary La-Y-Ce hydrides at moderate pressures,Journal of the American Chemical Society,146,14105-14113,2024.0,ID27,"ESRF (Grenoble)/SPring-8 (Nishi Harima, Japan)",,10.1021/jacs.4c02586,,WOS:001225193900001,1,ESRF
Journal article,,ESRF24CH315,Australia/France (ESRF)/Germany,"Chen Y., Zhang D., O'Toole P., Qiu D., Seibold M., Schricker K., Bergmann J., Rack A., Easton M.",In situ observation and reduction of hot-cracks in laser additive manufacturing,Communications Materials,5,84-1-84-10,2024.0,ID19,ESRF (Grenoble),IH-MA-262,10.1038/s43246-024-00522-3,,WOS:001232577500002,1,ESRF
Journal article,OA,ESRF24CH444,France (ESRF)/Norway,"Chernyshov D., Marshall K.P., North E.T., Fuller C.A., Wragg D.S.",Instrumental broadening and the radial pair distribution function with 2D detectors,Acta Crystallographica A,80,358-366,2024.0,BM31,ESRF (Grenoble),,10.1107/S2053273324006569,,,1,ESRF
Journal article,,ESRF24CH225,France (ESRF),"Chèvremont W., Narayanan T.",A correction procedure for secondary scattering contributions from windows in small-angle X-ray scattering and ultra-small-angle X-ray scattering,Journal of Applied Crystallography,57,440-445,2024.0,ID2,ESRF (Grenoble),,10.1107/S1600576724001997,,,1,ESRF
Journal article,,ESRF24CH223,France (ESRF),"Chèvremont W., Zinn T., Narayanan T.",Improvement of ultra-small-angle XPCS with the Extremely Brilliant Source,Journal of Synchrotron Radiation,31,65-76,2024.0,ID2,ESRF (Grenoble),,10.1107/s1600577523008627,,WOS:001167972600008,1,ESRF
Journal article,OA,ESRF24CO298,France (ESRF)/Finland/Czech Republic,"Colalongo M., Ali B., Martens I., Mirolo M., Laakso E., Atzori C., Confalonieri G., Kús P., Kobets A., Kong X., Schülli T., Drnec J., Kankaanpää T., Kallio T.",Comprehensive study of Zr-doped Ni-rich cathode materials upon lithiation and Co-precipitation synthesis steps,ACS Applied Materials & Interfaces,16,28683-28693,2024.0,ID31_BIB/ID22_HRPD/BM23,ESRF (Grenoble),"IH-CH-1603, BLC-1559, IH-CH-3772",10.1021/acsami.4c05058,,WOS:001228950800001,1,ESRF
Journal article,OA,ESRF24CO395,France (ESRF)/Finland/France (not ESRF)/China,"Colalongo M., Vostrov N., Martens I., Zatterin E., Richard M.I., Cadiou F., Jacquet Q., Drnec J., Leake S.J., Kallio T., Zhu X., Lyonnard S., Schülli T.",Imaging inter - and intra-particle features in crystalline cathode materials for Li-ion batteries using nano-focused beam techniques at 4th generation synchrotron sources,Microstructures,4,2024044-1-2024044-16,2024.0,ID1,ESRF (Grenoble),MA-4929,10.20517/microstructures.2024.19,,,1,ESRF
Journal article,OA,ESRF24CO442,UK/Germany/France (ESRF)/USA,"Cole M.R., Blackburn L.R., Haigh L.T., Bailey D.J., Townsend L.T., Kvashnina K.O., Hyatt N.C., Corkhill C.L.",A disposal-MOX concept for plutonium disposition,Materials Advances,5,6416-6425,2024.0,BM20,ESRF (Grenoble),MA-4821,10.1039/D4MA00420E,,,1,ESRF
Journal article,,ESRF24CO187,France (ESRF)/Germany,"Collonge M., Baussens O., Busca P., Fajardo P., Fischer P., Martin T., Ritzert M., Ruat M., Schimansky D., Williams M.",Probing the potential of CdZnTe for high-energy high-flux 2D X-ray detection using the XIDer incremental digital integrating readout,Frontiers in Physics,12,1304570-1-1304570-12,2024.0,BM5,ESRF (Grenoble),,10.3389/fphy.2024.1304570,,,1,ESRF
Journal article,,ESRF24CO320,France (ESRF)/Italy/France (not ESRF),"Confalonieri G., Ryzhikov A., Arletti R., Alabarse F., Nouali H., Fantini R., Daou J.",High-pressure intrusion of double salt aqueous solution in pure silica chabazite: Searching for cation selectivity,Journal of Applied Crystallography,57,681-689,2024.0,ID22_HRPD,ESRF (Grenoble),,10.1107/S1600576724002863,,,1,ESRF
Journal article,,ESRF24CO495,,"Corley-Wiciak C., Zöllner M.H., Corley-Wiciak A.A., Rovaris F., Sfruncia G., Nicotra G., Zaitsev I., Manganelli C.L., Zatterin E., Spirito D., Marzegalli A., Schülli T., von den Driesch N., Buca D., Montalenti F., Richter C., Capellini G.",The lattice strain distribution in GexSn1-x micro-disks investigated at the sub 100-nm scale,ECS Transactions,114,145-153,2024.0,ID1,ESRF (Grenoble),,10.1149/11402.0145ecst,,,1,ESRF
